kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten,nama_lengkap,path_gambar,deskripsi_bersih
air terjun,Air Terjun Aling-Aling,-8.1767917,115.1062843,"Air Terjun Aling-Aling, Panji Anom, Buleleng, Bali, Nusa Tenggara, 81161, Indonesia",Bali,Buleleng,"Air Terjun Aling-Aling, Buleleng, Bali",gambar_wisata/Air_Terjun_Aling-Aling,Deskripsi tidak ditemukan
air terjun,Air Terjun Bantimurung,-5.0165199,119.6855203,"Air Terjun Bantimurung, Jalan Poros Bantimurung, Maros, Jenetaesa, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi,"Air Terjun Bantimurung, Sulawesi, Sulawesi Selatan",gambar_wisata/Air_Terjun_Bantimurung,"Air Terjun Bantimurung adalah salah satu air terjun yang telah menjadi eksotisme objek wisata permandian dan air terjun andalan Sulawesi Selatan dari tahun 1980-an hingga saat ini. Lokasi air terjun ini berada tepat di Dusun Bantimurung, Desa Jenetaesa, Kecamatan Simbang, Kabupaten Maros, Provinsi Sulawesi Selatan, Indonesia."
air terjun,Air Terjun Benang Kelambu,-8.5327696,116.3370113,"Air Terjun Benang Kelambu, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah,"Air Terjun Benang Kelambu, Lombok Tengah, Nusa Tenggara Barat",gambar_wisata/Air_Terjun_Benang_Kelambu,Deskripsi tidak ditemukan
air terjun,Air Terjun Benang Stokel,-8.5330355,116.3413791,"Air Terjun Benang Stokel, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah,"Air Terjun Benang Stokel, Lombok Tengah, Nusa Tenggara Barat",gambar_wisata/Air_Terjun_Benang_Stokel,Deskripsi tidak ditemukan
air terjun,Air Terjun Bidadari,-2.9283607,107.8390425,"Air Terjun Bidadari, Nyuruk, Belitung Timur, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Belitung Timur,"Air Terjun Bidadari, Belitung Timur, Kepulauan Bangka Belitung",gambar_wisata/Air_Terjun_Bidadari,Daftar ini tidak lengkap dan hanya dapat dijadikan acuan sementara.
air terjun,Air Terjun Coban Rondo,-7.8847333,112.4769702,"Coban Rondo, Kabupaten Malang, Jawa Timur, Jawa, 65912, Indonesia",Jawa Timur,Kabupaten Malang,"Air Terjun Coban Rondo, Kabupaten Malang, Jawa Timur",gambar_wisata/Air_Terjun_Coban_Rondo,"Air Terjun Coban Rondo merupakan air terjun yang terletak di Kecamatan Pujon, Kabupaten Malang, Jawa Timur. Air terjun ini mudah dijangkau oleh kendaraan umum."
air terjun,Air Terjun Coban Talun,-7.8020389,112.5170485,"Air Terjun Coban Talun, Kota Batu, Jawa Timur, Jawa, 65336, Indonesia",Jawa Timur,Kota Batu,"Air Terjun Coban Talun, Kota Batu, Jawa Timur",gambar_wisata/Air_Terjun_Coban_Talun,Deskripsi tidak ditemukan
air terjun,Air Terjun Curug Dengdeng,-7.641818,108.324676,"AIR TERJUN CURUG DENGDENG, Jalan Cikaret Babakan, RW 08, Mekarsari, Tasikmalaya, Jawa Barat, Jawa, Indonesia",Jawa Barat,Tasikmalaya,"Air Terjun Curug Dengdeng, Tasikmalaya, Jawa Barat",gambar_wisata/Air_Terjun_Curug_Dengdeng,Deskripsi tidak ditemukan
air terjun,Air Terjun Dolo,-7.8706373,111.8354398,"Air Terjun Dolo, Mojo, Kabupaten Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Kediri,"Air Terjun Dolo, Kabupaten Kediri, Jawa Timur",gambar_wisata/Air_Terjun_Dolo,"Air Terjun Dolo adalah salah satu tempat wisata air terjun yang terletak di Dusun Besuki, Desa Jugo, Kecamatan Mojo, Kabupaten Kediri, Jawa Timur. Air terjun ini berada di bagian timur lereng Gunung Wilis (2.850 meter), yang memiliki ketinggian 125 meter dan 1800 meter di atas permukaan laut (dpl)."
air terjun,Air Terjun Jumog,-7.6312129,111.1269212,"Air Terjun Jumog, Jalur Pendakian Gunung Lawu via Tambak, Berjo, Karanganyar, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Karanganyar,"Air Terjun Jumog, Karanganyar, Jawa Tengah",gambar_wisata/Air_Terjun_Jumog,Deskripsi tidak ditemukan
air terjun,Air Terjun Kanto Lampo,-8.5323414,115.3329825,"Kanto Lampo, Beng, Gianyar, Bali, Nusa Tenggara, 80512, Indonesia",Bali,Gianyar,"Air Terjun Kanto Lampo, Gianyar, Bali",gambar_wisata/Air_Terjun_Kanto_Lampo,Deskripsi tidak ditemukan
air terjun,Air Terjun Kedung Kayang,-7.5003922,110.3933888,"Air terjun kedung kayang, Jalan Raya Boyolali-Magelang, Wonodadi, Wonolelo, Sawangan, Magelang, Jawa Tengah, Jawa, 56481, Indonesia",Jawa Tengah,Magelang,"Air Terjun Kedung Kayang, Magelang, Jawa Tengah",gambar_wisata/Air_Terjun_Kedung_Kayang,"Kabupaten Magelang (bahasa Jawa:  Hanacaraka:  , Pegon:  , translit. Mag lang) adalah sebuah wilayah Kabupaten yang terletak di Provinsi Jawa Tengah, Indonesia."
air terjun,Air Terjun Mangku Sakti,-8.3180093,116.4686796,"Air Terjun Mangku Sakti, Sambik Eelen - Batu Santek, Sambikelen, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara,"Air Terjun Mangku Sakti, Lombok Utara, Nusa Tenggara Barat",gambar_wisata/Air_Terjun_Mangku_Sakti,Deskripsi tidak ditemukan
air terjun,Air Terjun Matayangu,-9.6732857,119.5046953,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Tengah,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur",gambar_wisata/Air_Terjun_Matayangu,Daftar ini tidak lengkap dan hanya dapat dijadikan acuan sementara.
air terjun,Air Terjun Moramo,-4.221149,122.7452422,"Moramo - air terjun, Konawe Selatan, Sulawesi Tenggara, Sulawesi, Indonesia",Sulawesi Tenggara,Konawe Selatan,"Air Terjun Moramo, Konawe Selatan, Sulawesi Tenggara",gambar_wisata/Air_Terjun_Moramo,"Air Terjun Moramo terletak di kawasan Hutan Suaka Alam Tanjung Peropa, Sulawesi Tenggara dan merupakan air terjun bertingkat (cascade) yang indah dengan ketinggian sekitar 100 meter. Dari ketinggian tersebut, air mengalir melewati tujuh tingkatan utama."
air terjun,Air Terjun Sambangan,-8.1443829,115.100412,"Air Terjun Tembok Barak, Sambangan, Buleleng, Bali, Nusa Tenggara, 81118, Indonesia",Bali,Buleleng,"Air Terjun Sambangan, Buleleng, Bali",gambar_wisata/Air_Terjun_Sambangan,"Kabupaten Buleleng (bahasa Bali:   Kabupat n Bul l ng) adalah salah satu kabupaten di provinsi Bali yang terletak di bagian utara, barat dan timur Pulau Bali. Ibu kotanya adalah kota Singaraja."
air terjun,Air Terjun Sendang Gile,-8.3055561,116.4082776,"Air terjun Sendang Gile, Dusun Pawang Karya, Senaru, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara,"Air Terjun Sendang Gile, Lombok Utara, Nusa Tenggara Barat",gambar_wisata/Air_Terjun_Sendang_Gile,"Air terjun Sendang Gile adalah air terjun yang terletak di desa Senaru, kecamatan Bayan, kabupaten Lombok Utara, propinsi Nusa Tenggara Barat. Lebih tepatnya berada di kawasan desa Senaru, 2 kilometer dari desa Bayan."
air terjun,Air Terjun Sri Gethuk,-7.9432134,110.4895782,"Air Terjun Sri Gethuk, 052, Jatimulyo, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul,"Air Terjun Sri Gethuk, Bantul, Daerah Istimewa Yogyakarta",gambar_wisata/Air_Terjun_Sri_Gethuk,"Daerah Istimewa Yogyakarta, disingkat DI Yogyakarta atau DIY adalah daerah Istimewa setingkat provinsi di Indonesia yang merupakan peleburan dari Negara Kesultanan Yogyakarta dan Negara Kadipaten Paku Alaman dengan ibu kota di Kota Yogyakarta. Daerah Istimewa Yogyakarta terletak di bagian selatan Pulau Jawa, dan berbatasan dengan Provinsi Jawa Tengah dan Samudra Hindia."
air terjun,Air Terjun Tegenungan,-8.5752294,115.2907014,"Tegenungan Blangsinga, Sukawati, Gianyar, Bali, Nusa Tenggara, 80582, Indonesia",Bali,Gianyar,"Air Terjun Tegenungan, Gianyar, Bali",gambar_wisata/Air_Terjun_Tegenungan,"Air terjun Tegenungan adalah air terjun yang terletak di Desa Kemenuh, Kecamatan Sukawati, Kabupaten Gianyar, berjarak 30 km dari Kota Denpasar. Air terjun ini memiliki ketinggian 15 meter."
air terjun,Air Terjun Tukad Cepung,-8.4423213,115.3879035,"Air Terjun Tukad Cepung, Undisan, Bangli, Bali, Nusa Tenggara, 80613, Indonesia",Bali,Bangli,"Air Terjun Tukad Cepung, Bangli, Bali",gambar_wisata/Air_Terjun_Tukad_Cepung,Kabupaten Bangli (aksara Bali:   Kabupat n Ba li) adalah kabupaten yang terletak di bagian timur dan utara pulau Bali. Ibukotanya berada di Kecamatan Bangli.
air terjun,Air Terjun Tumpak Sewu,-8.2389311,112.9214262,"Kawasan Air Terjun Tumpak Sewu, Jagalan, Sidorenggo, Kabupaten Malang, Jawa Timur, Jawa, 67374, Indonesia",Jawa Timur,Kabupaten Malang,"Air Terjun Tumpak Sewu, Kabupaten Malang, Jawa Timur",gambar_wisata/Air_Terjun_Tumpak_Sewu,"Air Terjun Tumpak Sewu atau disebut juga Coban Sewu adalah sebuah air terjun berketinggian sekitar 120 meter. Air terjun ini  berbatasan dengan  Kabupaten Lumajang dan Kabupaten Malang, Provinsi Jawa Timur."
air terjun,Air Terjun Waimarang,-9.9687141,120.6028048,"Air Terjun Waimarang, Desa Tamburi, Kecamatan Rindi, Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Timur,"Air Terjun Waimarang, Sumba Timur, Nusa Tenggara Timur",gambar_wisata/Air_Terjun_Waimarang,Nusa Tenggara Timur (disingkat NTT) adalah sebuah provinsi di Indonesia yang meliputi bagian timur Kepulauan Nusa Tenggara. Ibu kota Nusa Tenggara Timur berada di Kota Kupang.
alun-alun,Alun-Alun Bandung,-6.9216776,107.607151,"Alun-Alun Bandung, Balonggede, Regol, Kota Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kota Bandung,"Alun-Alun Bandung, Kota Bandung, Jawa Barat",gambar_wisata/Alun-Alun_Bandung,"Kota Bandung (bahasa Sunda:    , Pegon:  , Hanzi:  , translit. Bandung; pelafalan dalam bahasa Indonesia: [ban.du ] ) adalah sebuah kota sekaligus menjadi ibu kota provinsi di Provinsi Jawa Barat, Indonesia."
alun-alun,Alun-Alun Banyuwangi,-8.2073769,114.3759291,"Jalan Tawang Alun, Biskalan, Patemon Wetan, Banyuwangi, Temenggungan, Banyuwangi, Jawa Timur, Jawa, 68419, Indonesia",Jawa Timur,Banyuwangi,"Alun-Alun Banyuwangi, Banyuwangi, Jawa Timur",gambar_wisata/Alun-Alun_Banyuwangi,"Banyuwangi (atau juga dikenal: Banyuwangi Kota) adalah sebuah kecamatan sekaligus menjadi ibu kota kabupaten di Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia. Posisinya sebagai ibu kota kabupaten telah menjadikan banyaknya gedung-gedung pemerintahan kabupaten, cabang-cabang perusahaan, dan pusat keramaian yang berdiri di wilayah kecamatan ini."
alun-alun,Alun-Alun Blitar,-8.0981708,112.1651758,"Alun-Alun Blitar, Kepanjenkidul, Blitar, Jawa Timur, Jawa, Indonesia",Jawa Timur,Blitar,"Alun-Alun Blitar, Blitar, Jawa Timur",gambar_wisata/Alun-Alun_Blitar,"Kota Blitar (bahasa Jawa: Hanacaraka:  , Pegon:  ; pengucapan bahasa Jawa: [ bl t ar]) merupakan sebuah kota yang terletak di bagian Selatan provinsi Jawa Timur, Indonesia. Kota ini terletak sekitar 167 km sebelah barat daya Surabaya dan 80 km sebelah barat Malang."
alun-alun,Alun-Alun Bojonegoro,-7.1490935,111.8802509,"Alun-Alun Bojonegoro, Pakuwon, Bojonegoro, Jawa Timur, Jawa, Indonesia",Jawa Timur,Bojonegoro,"Alun-Alun Bojonegoro, Bojonegoro, Jawa Timur",gambar_wisata/Alun-Alun_Bojonegoro,"Kabupaten Bojonegoro (bahasa Jawa: Hanacaraka:  , Pegon:  , translit. Boj nag r ; pengucapan bahasa Jawa: [bod na r ]) adalah sebuah wilayah kabupaten yang berada di Provinsi Jawa Timur, Indonesia."
alun-alun,Alun-Alun Bondowoso,-7.9131978,113.8224604,"Alun-alun Bondowoso, Pegadaian, Bondowoso, Jawa Timur, Jawa, Indonesia",Jawa Timur,Bondowoso,"Alun-Alun Bondowoso, Bondowoso, Jawa Timur",gambar_wisata/Alun-Alun_Bondowoso,"Kabupaten Bondowoso (Hanacaraka:  , Pegon:  ; pelafalan dalam bahasa Indonesia: [b nd w s ]) adalah sebuah wilayah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Kecamatan Bondowoso."
alun-alun,Alun-Alun Brebes,-6.8706354,109.0368815,"Alun-Alun Brebes, Pesanggrahan, Brebes, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Brebes,"Alun-Alun Brebes, Brebes, Jawa Tengah",gambar_wisata/Alun-Alun_Brebes,"Kabupaten Brebes (bahasa Jawa:  Hanacaraka:  , bahasa Sunda:  , Pegon:  ) adalah sebuah wilayah kabupaten yang berada di Provinsi Jawa Tengah, Indonesia. Ibu kotanya adalah Kecamatan Brebes."
alun-alun,Alun-Alun Cilacap,-7.7273698,109.0095032,"Alun-Alun Cilacap, RW 01 Kelurahan Sidanegara, Cilacap, Kelurahan Sidanegara Kecamatan Cilacap, Cilacap, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Cilacap,"Alun-Alun Cilacap, Cilacap, Jawa Tengah",gambar_wisata/Alun-Alun_Cilacap,"Kota Cilacap adalah ibu kota Kabupaten Cilacap yang sekaligus menjadi pusat pemerintahan dan perekonomian dari Kabupaten Cilacap, Provinsi Jawa Tengah, Indonesia. Jumlah penduduknya 2.007.829 jiwa pada tahun 2024 dengan luas 88,76 km  yang terdiri atas 3 kecamatan."
alun-alun,Alun-Alun Cirebon,-6.7219026,108.567909,"Alun Alun Keraton Kanoman, Lemahwungkuk, Kota Cirebon, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kota Cirebon,"Alun-Alun Cirebon, Kota Cirebon, Jawa Barat",gambar_wisata/Alun-Alun_Cirebon,"Kota Cirebon adalah salah satu kota yang berada di provinsi Jawa Barat, Indonesia. Kota ini berada di pesisir utara Pulau Jawa yang menghubungkan Jakarta dengan Surabaya antara lintas tengah dan utara Jawa."
alun-alun,Alun-Alun Demak,-6.894814,110.638526,"Alun - Alun Demak, Kauman, Demak, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Demak,"Alun-Alun Demak, Demak, Jawa Tengah",gambar_wisata/Alun-Alun_Demak,Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Keraton ini didirikan oleh Sri Sultan Hamengkubuwana I pada tahun 1755 sebagai Istana/Keraton Yogyakarta yang baru berdiri akibat perpecahan Mataram Islam dengan adanya Perjanjian Giyanti.
alun-alun,Alun-Alun Gresik,-7.1571326,112.6560463,"alun-alun Gresik, Gresik, Jawa Timur, Jawa, Indonesia",Jawa Timur,Gresik,"Alun-Alun Gresik, Gresik, Jawa Timur",gambar_wisata/Alun-Alun_Gresik,"Sidayu adalah sebuah Kecamatan di Kabupaten Gresik, Provinsi Jawa Timur, Indonesia. Pada era Majapahit daerah ini disebut dengan Ujung Galuh."
alun-alun,Alun-Alun Jember,-8.1689005,113.7021649,"Alun alun Jember, Sumber Lor, Jember, Jawa Timur, Jawa, Indonesia",Jawa Timur,Jember,"Alun-Alun Jember, Jember, Jawa Timur",gambar_wisata/Alun-Alun_Jember,"Kabupaten Jember (bahasa Jawa:  Hanacaraka:  , Pegon:  , translit. J mb r; pengucapan bahasa Jawa: [ d mb r]) adalah sebuah kabupaten di provinsi Jawa Timur, Indonesia."
alun-alun,Alun-Alun Jepara,-6.5897781,110.6673616,"Alun-alun Jepara, Jalan Diponegoro, Kauman, Jepara, Jawa Tengah, Jawa, 59417, Indonesia",Jawa Tengah,Jepara,"Alun-Alun Jepara, Jepara, Jawa Tengah",gambar_wisata/Alun-Alun_Jepara,"Jepara (bahasa Jawa:  , Pegon:  , Hanzi:  ) (atau disebut juga Jepara Kota) adalah ibu kota Kabupaten Jepara yang sekaligus menjadi pusat pemerintahan dan perekonomian dari Kabupaten Jepara. Jepara juga merupakan sebuah wilayah kecamatan yang terletak di Kabupaten Jepara, Provinsi Jawa Tengah, Indonesia."
alun-alun,Alun-Alun Karanganyar,-7.6306506,109.5736782,"Alun-alun Karanganyar, Karanganyar, Kebumen, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kebumen,"Alun-Alun Karanganyar, Kebumen, Jawa Tengah",gambar_wisata/Alun-Alun_Karanganyar,"Kabupaten Kebumen (bahasa Jawa:  Hanacaraka:  , Pegon:  , translit. Kebumen) adalah sebuah wilayah kabupaten yang terletak di Provinsi Jawa Tengah, Indonesia."
alun-alun,Alun-Alun Kediri,-7.8265629,112.0110595,"Alun-Alun Kediri, Kampung Dalem, Kota, Kota Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Kediri,"Alun-Alun Kediri, Kota Kediri, Jawa Timur",gambar_wisata/Alun-Alun_Kediri,"Kota Kediri (bahasa Jawa: Hanacaraka:  , Pegon:  , translit. Kadhiri; pengucapan bahasa Jawa: [ka iri]) adalah sebuah kota yang berada di Provinsi Jawa Timur, Indonesia."
alun-alun,Alun-Alun Kendal,-6.9213273,110.2040396,"Alun-Alun Kendal, Kendal, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kendal,"Alun-Alun Kendal, Kendal, Jawa Tengah",gambar_wisata/Alun-Alun_Kendal,"Kabupaten Kendal (bahasa Jawa: Hanacaraka:  , Pegon:  , translit. Kendhal) adalah sebuah wilayah kabupaten yang terletak di Provinsi Jawa Tengah, Indonesia."
alun-alun,Alun-Alun Kendari,-4.0286681,122.5205774,"Tawang Alun Futsal Arena, Jalan Terong, Bonggoeya, Kendari, Sulawesi Tenggara, Sulawesi, 93112, Indonesia",Sulawesi Tenggara,Kendari,"Alun-Alun Kendari, Kendari, Sulawesi Tenggara",gambar_wisata/Alun-Alun_Kendari,"Mall Olympic Garden, atau disingkat menjadi MOG, adalah salah satu mal besar yang ada di Kota Malangyang dibuka pada tahun 2008. Mal ini terletak di belakang Stadion Gajayana dan hanya berjarak 2,5 kilometer dari Alun-Alun Tugu."
alun-alun,Alun-Alun Kidul Yogyakarta,-7.811844,110.3632217,"Alun Alun Kidul, Patehan, Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, 55133, Indonesia",Daerah Istimewa Yogyakarta,Kota Yogyakarta,"Alun-Alun Kidul Yogyakarta, Kota Yogyakarta, Daerah Istimewa Yogyakarta",gambar_wisata/Alun-Alun_Kidul_Yogyakarta,Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Keraton ini didirikan oleh Sri Sultan Hamengkubuwana I pada tahun 1755 sebagai Istana/Keraton Yogyakarta yang baru berdiri akibat perpecahan Mataram Islam dengan adanya Perjanjian Giyanti.
alun-alun,Alun-Alun Klaten,-7.704963,110.6018083,"Alun-alun Klaten, Klaten, Klaten City, Klaten, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Klaten City,"Alun-Alun Klaten, Klaten City, Jawa Tengah",gambar_wisata/Alun-Alun_Klaten,"Kota Surakarta (bahasa Jawa: Hanacaraka:  , Pegon:  , Hanzi:  , pengucapan bahasa Jawa: [sur kart ]) atau Solo (bahasa Jawa:  , translit. Sala, pengucapan bahasa Jawa: [s l ]) adalah salah satu kota di provinsi Jawa Tengah, Indonesia, dengan luas 44,04 km2."
alun-alun,Alun-Alun Kota Batu,-7.8711747,112.5251687,"Parkir Alun-Alun Kota Batu, Jalan RA. Kartini, Pesanggrahan, Kota Batu, Klojen, Jawa Timur, Jawa, 65341, Indonesia",Jawa Timur,Kota Batu,"Alun-Alun Kota Batu, Kota Batu, Jawa Timur",gambar_wisata/Alun-Alun_Kota_Batu,"Kota Batu (bahasa Jawa:  Hanacaraka:  , Pegon:  ; pengucapan bahasa Jawa: [ bat u]) adalah sebuah kota wisata di Provinsi Jawa Timur, Indonesia. Kota ini terletak 90 km sebelah barat daya Surabaya atau 15 km sebelah barat laut Malang."
alun-alun,Alun-Alun Kota Magelang,-7.4771886,110.2182633,"Alun-Alun Kota Magelang, Mateseh, Kauman, Kota Magelang, Jawa Tengah, Jawa, 56122, Indonesia",Jawa Tengah,Kota Magelang,"Alun-Alun Kota Magelang, Kota Magelang, Jawa Tengah",gambar_wisata/Alun-Alun_Kota_Magelang,"Kota Magelang (bahasa Jawa:  Hanacaraka :  , Pegon:  , translit. Mag lang) adalah salah satu kota yang terletak di provinsi Jawa Tengah, Indonesia."
alun-alun,Alun-Alun Kota Malang,-7.9826135,112.6308234,"Alun-Alun Malang, Kiduldalem, Kota Malang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Malang,"Alun-Alun Kota Malang, Kota Malang, Jawa Timur",gambar_wisata/Alun-Alun_Kota_Malang,"Kota Malang (bahasa Jawa: Hanacaraka:  , Pegon:  ; pengucapan bahasa Jawa: [ mala ]) adalah sebuah kota yang terletak di Provinsi Jawa Timur, Indonesia, Kota ini merupakan kota terbesar kedua di Jawa Timur setelah Surabaya, dan kota terbesar ke-12 di Indonesia. Kota ini didirikan pada masa Pemerintahan Belanda pada 1 April 1914 dengan E.K Broeveldt sebagai wali kota pertama."
alun-alun,Alun-Alun Kota Semarang,-7.1350341,110.4090482,"Alun-alun mini, Putatan, Kota Semarang, Kabupaten Semarang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kota Semarang,"Alun-Alun Kota Semarang, Kota Semarang, Jawa Tengah",gambar_wisata/Alun-Alun_Kota_Semarang,"Kota Batu (bahasa Jawa:  Hanacaraka:  , Pegon:  ; pengucapan bahasa Jawa: [ bat u]) adalah sebuah kota wisata di Provinsi Jawa Timur, Indonesia. Kota ini terletak 90 km sebelah barat daya Surabaya atau 15 km sebelah barat laut Malang."
alun-alun,Alun-Alun Kota Solo,-7.5747341,110.8287812,"Alun-alun utara, Kauman, Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Surakarta,"Alun-Alun Kota Solo, Surakarta, Jawa Tengah",gambar_wisata/Alun-Alun_Kota_Solo,"Kota Surakarta (bahasa Jawa: Hanacaraka:  , Pegon:  , Hanzi:  , pengucapan bahasa Jawa: [sur kart ]) atau Solo (bahasa Jawa:  , translit. Sala, pengucapan bahasa Jawa: [s l ]) adalah salah satu kota di provinsi Jawa Tengah, Indonesia, dengan luas 44,04 km2."
alun-alun,Alun-Alun Kota Tangerang,-6.2744895,106.6928034,"Alun-Alun Pondok Aren, Parigi Baru, Pondok Aren, Tangerang Selatan, Banten, Jawa, Indonesia",Banten,Tangerang Selatan,"Alun-Alun Kota Tangerang, Tangerang Selatan, Banten",gambar_wisata/Alun-Alun_Kota_Tangerang,"Kota Tangerang adalah kota yang terletak di Provinsi Banten, Indonesia. Kota ini terletak sekitar 20,7 km di sebelah barat dari DKI Jakarta."
alun-alun,Alun-Alun Kudus,-6.8077663,110.8417328,"Alun Alun Simpang 7 Kudus, Demaan, Kudus, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kudus,"Alun-Alun Kudus, Kudus, Jawa Tengah",gambar_wisata/Alun-Alun_Kudus,"Kecamatan Kudus (bahasa Jawa:    Pegon:  ) (ditulis juga sebagai Kota Kudus) adalah sebuah kecamatan dan ibu kota yang menjadi pusat pemerintahan dan perekonomian dari Kabupaten Kudus di provinsi Jawa Tengah, Indonesia."
alun-alun,Alun-Alun Lamongan,-7.120213,112.4157189,"Alun-Alun Lamongan, Lamongan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Lamongan,"Alun-Alun Lamongan, Lamongan, Jawa Timur",gambar_wisata/Alun-Alun_Lamongan,"Kecamatan Lamongan (Aksara Jawa:  ) merupakan sebuah kecamatan sekaligus ibu kota dari Kabupaten Lamongan, Provinsi Jawa Timur, Indonesia. Kecamatan Lamongan adalah salah satu kecamatan dari 27 kecamatan yang berada di Kabupaten Lamongan dengan jarak orbitasi 0,5 Km dari Ibu Kota Lamongan atau +20km arah kecamatan Gresik (kota terdekat)"
alun-alun,Alun-Alun Lumajang,-8.1352201,113.2244432,"Alun-Alun Lumajang, Ditotrunan, Lumajang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Lumajang,"Alun-Alun Lumajang, Lumajang, Jawa Timur",gambar_wisata/Alun-Alun_Lumajang,"Kabupaten Lumajang (Hanacaraka:  , Pegon:  ; pelafalan dalam bahasa Indonesia: [lu mad a ]) adalah sebuah kabupaten di Provinsi Jawa Timur, Indonesia. Ibu kotanya adalah Kecamatan Lumajang Kota."
alun-alun,Alun-Alun Madiun,-7.6291792,111.5168307,"Alun-alun Madiun, Pangongangan, Kota Madiun, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Madiun,"Alun-Alun Madiun, Kota Madiun, Jawa Timur",gambar_wisata/Alun-Alun_Madiun,"Kota Madiun (bahasa Jawa: Hanacaraka:  , Pegon:  , translit. Madhiyun; pengucapan bahasa Jawa: [ma ij n]) adalah sebuah kota di provinsi Jawa Timur, Indonesia."
alun-alun,Alun-Alun Magelang,-7.4771886,110.2182633,"Alun-Alun Kota Magelang, Mateseh, Kauman, Kota Magelang, Jawa Tengah, Jawa, 56122, Indonesia",Jawa Tengah,Kota Magelang,"Alun-Alun Magelang, Kota Magelang, Jawa Tengah",gambar_wisata/Alun-Alun_Magelang,"Kota Magelang (bahasa Jawa:  Hanacaraka :  , Pegon:  , translit. Mag lang) adalah salah satu kota yang terletak di provinsi Jawa Tengah, Indonesia."
alun-alun,Alun-Alun Malang,-7.9826135,112.6308234,"Alun-Alun Malang, Kiduldalem, Kota Malang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Malang,"Alun-Alun Malang, Kota Malang, Jawa Timur",gambar_wisata/Alun-Alun_Malang,"Kota Malang (bahasa Jawa: Hanacaraka:  , Pegon:  ; pengucapan bahasa Jawa: [ mala ]) adalah sebuah kota yang terletak di Provinsi Jawa Timur, Indonesia, Kota ini merupakan kota terbesar kedua di Jawa Timur setelah Surabaya, dan kota terbesar ke-12 di Indonesia. Kota ini didirikan pada masa Pemerintahan Belanda pada 1 April 1914 dengan E.K Broeveldt sebagai wali kota pertama."
alun-alun,Alun-Alun Mojokerto,-7.4632394,112.4319642,"Alun-Alun Mojokerto, Magersari, Kota Mojokerto, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Mojokerto,"Alun-Alun Mojokerto, Kota Mojokerto, Jawa Timur",gambar_wisata/Alun-Alun_Mojokerto,"Kota Mojokerto (bahasa Jawa: Hanacaraka:  , Pegon:  , translit. M j k rt ; pengucapan bahasa Jawa: [m d k rt ]) adalah sebuah kota di Provinsi Jawa Timur, Indonesia."
